2025-06-25 11:01:29.786 | INFO     | __main__:main:77 - TextProcessor initialized.
2025-06-25 11:01:29.790 | INFO     | text_processor:_call_llm:159 - TextProcessor calling LLM with prompt (first 200 chars):  SYSTEM ROLE: You are an AI system assisting the Emergency Response Support System (ERSS) project under C-DAC, analyzing 112 emergency call transcripts. Your task is to classify and extract accurate s...
2025-06-25 11:01:55.626 | INFO     | text_processor:_parse_llm_field_value_output:387 - Promoted event_sub_type from 'OTHERS' to 'VEHICLE FIRE' (fuzzy match) based on 'generated_event_sub_type_detail'.
2025-06-25 11:01:55.627 | INFO     | __main__:main:104 - [1/42] Processed 1_101006_08126225501_1747631823.42331537_20250519_104713.txt
2025-06-25 11:01:55.627 | INFO     | text_processor:_call_llm:159 - TextProcessor calling LLM with prompt (first 200 chars):  SYSTEM ROLE: You are an AI system assisting the Emergency Response Support System (ERSS) project under C-DAC, analyzing 112 emergency call transcripts. Your task is to classify and extract accurate s...
2025-06-25 11:02:12.067 | INFO     | __main__:main:104 - [2/42] Processed 1_201001_211005_1747634992.42373239_20250519_113954.txt
2025-06-25 11:02:12.067 | INFO     | text_processor:_call_llm:159 - TextProcessor calling LLM with prompt (first 200 chars):  SYSTEM ROLE: You are an AI system assisting the Emergency Response Support System (ERSS) project under C-DAC, analyzing 112 emergency call transcripts. Your task is to classify and extract accurate s...
2025-06-25 11:02:20.883 | INFO     | __main__:main:104 - [3/42] Processed 1_201002_211008_1747629531.42301017_20250519_100853.txt
2025-06-25 11:02:20.883 | INFO     | text_processor:_call_llm:159 - TextProcessor calling LLM with prompt (first 200 chars):  SYSTEM ROLE: You are an AI system assisting the Emergency Response Support System (ERSS) project under C-DAC, analyzing 112 emergency call transcripts. Your task is to classify and extract accurate s...
2025-06-25 11:02:29.738 | WARNING  | text_processor:_parse_llm_field_value_output:319 - Unknown field returned by LLM: 'Here is the output based on the provided input transcript'. Skipping.
2025-06-25 11:02:29.739 | INFO     | __main__:main:104 - [4/42] Processed 1_201004_09458920620_1747649478.42560455_20250519_154130.txt
2025-06-25 11:02:29.739 | INFO     | text_processor:_call_llm:159 - TextProcessor calling LLM with prompt (first 200 chars):  SYSTEM ROLE: You are an AI system assisting the Emergency Response Support System (ERSS) project under C-DAC, analyzing 112 emergency call transcripts. Your task is to classify and extract accurate s...
2025-06-25 11:02:38.394 | WARNING  | text_processor:_parse_llm_field_value_output:319 - Unknown field returned by LLM: 'Here is the output for the given input transcript'. Skipping.
2025-06-25 11:02:38.394 | WARNING  | text_processor:_parse_llm_field_value_output:363 - LLM returned invalid literal for 'repeat_incident': 'yes (implied from "कितनी गलत बात है भैया आप मुझे बताना")'. Defaulting to 'not specified'.
